# This document produced by structureHarvester core version vB.1 July 2022
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vB.1 July 2022
# File generated at 2025-Jan-27 13:03:09 GMT
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	30	-1007893.896667	4.092591
str_K1_rep27_f		1	-1007901.4	-1007502.5	797.9
str_K1_rep1_f		1	-1007888.0	-1007502.4	771.1
str_K1_rep23_f		1	-1007891.0	-1007502.4	777.3
str_K1_rep10_f		1	-1007885.8	-1007502.4	767.0
str_K1_rep18_f		1	-1007897.2	-1007502.4	789.7
str_K1_rep15_f		1	-1007895.4	-1007502.5	785.7
str_K1_rep6_f		1	-1007898.1	-1007502.6	791.1
str_K1_rep12_f		1	-1007892.7	-1007502.4	780.6
str_K1_rep2_f		1	-1007894.5	-1007502.5	784.0
str_K1_rep17_f		1	-1007888.4	-1007502.7	771.4
str_K1_rep16_f		1	-1007903.7	-1007502.2	802.8
str_K1_rep7_f		1	-1007902.9	-1007502.3	801.1
str_K1_rep11_f		1	-1007893.4	-1007502.4	782.0
str_K1_rep24_f		1	-1007894.3	-1007502.4	783.9
str_K1_rep28_f		1	-1007893.1	-1007503.0	780.2
str_K1_rep19_f		1	-1007894.9	-1007502.5	784.7
str_K1_rep26_f		1	-1007893.1	-1007502.7	780.8
str_K1_rep14_f		1	-1007889.4	-1007502.7	773.4
str_K1_rep22_f		1	-1007892.8	-1007502.6	780.5
str_K1_rep9_f		1	-1007889.1	-1007502.6	773.0
str_K1_rep21_f		1	-1007893.8	-1007502.7	782.2
str_K1_rep3_f		1	-1007894.0	-1007502.7	782.6
str_K1_rep29_f		1	-1007892.3	-1007502.3	779.9
str_K1_rep13_f		1	-1007897.2	-1007502.7	789.0
str_K1_rep20_f		1	-1007893.8	-1007502.4	782.7
str_K10_rep26_f		10	-972681.2	-968134.6	9093.2
str_K10_rep25_f		10	-972675.2	-967962.9	9424.5
str_K10_rep13_f		10	-972581.5	-968137.8	8887.5
str_K10_rep30_f		10	-972681.2	-968134.6	9093.2
str_K10_rep17_f		10	-972586.7	-967961.8	9249.8
str_K10_rep12_f		10	-972681.2	-968134.6	9093.2
str_K10_rep23_f		10	-972655.6	-968141.1	9029.0
str_K10_rep19_f		10	-972171.4	-967982.4	8378.0
str_K10_rep29_f		10	-972408.8	-967955.8	8906.0
str_K10_rep22_f		10	-972681.2	-968134.6	9093.2
str_K10_rep20_f		10	-972681.2	-968134.6	9093.2
str_K10_rep8_f		10	-972681.2	-968134.6	9093.2
str_K10_rep4_f		10	-972681.2	-968134.6	9093.2
str_K10_rep1_f		10	-972409.0	-967969.1	8879.8
str_K10_rep6_f		10	-972681.2	-968134.6	9093.2
str_K10_rep27_f		10	-972368.0	-967938.4	8859.3
str_K10_rep14_f		10	-972681.2	-968134.6	9093.2
str_K10_rep15_f		10	-972591.6	-967963.5	9256.1
str_K10_rep28_f		10	-972681.2	-968134.6	9093.2
str_K10_rep21_f		10	-972393.0	-967960.4	8865.3
str_K10_rep3_f		10	-972228.0	-967944.6	8566.8
str_K10_rep5_f		10	-972453.7	-967962.2	8983.0
str_K10_rep9_f		10	-972398.6	-967955.3	8886.6
str_K10_rep18_f		10	-972681.2	-968134.6	9093.2
str_K10_rep10_f		10	-972681.2	-968134.6	9093.2
str_K10_rep11_f		10	-972415.2	-967980.4	8869.5
str_K10_rep16_f		10	-972681.2	-968134.6	9093.2
str_K10_rep2_f		10	-972681.2	-968134.6	9093.2
str_K10_rep7_f		10	-972535.2	-967968.7	9133.0
str_K10_rep24_f		10	-972681.2	-968134.6	9093.2

Software written by Dent Earl while at EEB Dept, UCLA, BME Dept UCSC
dearl (a) soe ucsc edu
CITATION:
Earl, Dent A. and vonHoldt, Bridgett M. (2012)
STRUCTURE HARVESTER: a website and program for visualizing
STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
Core version: vB.1 July 2022
